galaxyID,MHI_Msun,r_arcmin,NHI_intrinsic_cm-2,NHI_conv_FAST_cm-2,NHI_conv_FASTdiv2_cm-2
2.059000000000000000e+03,7.770379599087099545e+06,1.748654906200094727e-01,2.904325127843164979e+21,7.038309965359031091e+19,2.385435326366005658e+20
2.059000000000000000e+03,7.770379599087099545e+06,2.201426097873844800e-01,1.868944278971477918e+21,6.998927901578311270e+19,2.339492036106801971e+20
2.059000000000000000e+03,7.770379599087099545e+06,2.771431256800256371e-01,1.145912012643292021e+21,6.936962415940864410e+19,2.268478177501117481e+20
2.059000000000000000e+03,7.770379599087099545e+06,3.489025236226489524e-01,7.567046318350151188e+20,6.839875559757071155e+19,2.160307788199584072e+20
2.059000000000000000e+03,7.770379599087099545e+06,4.392422532276674119e-01,3.789710479589815091e+20,6.688778942248376730e+19,1.999313043298439004e+20
2.059000000000000000e+03,7.770379599087099545e+06,5.529732345220390588e-01,1.504939832280162304e+20,6.456114463070751949e+19,1.768321356440262738e+20
2.059000000000000000e+03,7.770379599087099545e+06,6.961520569818105963e-01,5.560848333578472653e+19,6.103830830524050637e+19,1.455551643421637345e+20
2.059000000000000000e+03,7.770379599087099545e+06,8.764035150071823876e-01,1.148183379010173338e+19,5.584452684704872858e+19,1.069031762321591337e+20
2.059000000000000000e+03,7.770379599087099545e+06,1.103326656028272623e+00,3.781026652095623040e+17,4.850304493275488256e+19,6.552980956318407885e+19
2.059000000000000000e+03,7.770379599087099545e+06,1.389005964783874614e+00,4.979578775765953000e+15,3.879314854188388352e+19,3.015742247462758810e+19
2.059000000000000000e+03,7.770379599087099545e+06,1.748654906200093562e+00,8.597613426120013000e+15,2.722690260208123494e+19,8.814445406779827200e+18
2.059000000000000000e+03,7.770379599087099545e+06,2.201426097873843357e+00,2.079403231494073750e+15,1.553499918513438106e+19,1.258673430637050624e+18
2.059000000000000000e+03,7.770379599087099545e+06,2.771431256800255039e+00,3.415278064038194375e+14,6.384117466530038784e+18,5.903147200207016800e+16
2.059000000000000000e+03,7.770379599087099545e+06,3.489025236226488413e+00,8.008321794125728125e+13,1.559698836977924096e+18,7.075204612761141250e+14
2.059000000000000000e+03,7.770379599087099545e+06,4.392422532276672342e+00,4.669889295485067969e+13,1.672076878284058560e+17,5.923412331998294531e+13
2.059000000000000000e+03,7.770379599087099545e+06,5.529732345220386591e+00,3.394460320149163281e+13,4.898557189177618000e+15,3.426099371103106641e+13
2.059000000000000000e+03,7.770379599087099545e+06,6.961520569818103077e+00,2.061464011255897266e+13,4.121329026736853125e+13,2.187409393420550391e+13
2.059000000000000000e+03,7.770379599087099545e+06,8.764035150071821434e+00,1.434793210995020898e+13,1.465063568742440039e+13,1.445684539879130273e+13
2.059000000000000000e+03,7.770379599087099545e+06,1.103326656028272268e+01,8.076116069974748047e+12,8.746398662242118164e+12,8.438903508920977539e+12
2.059000000000000000e+03,7.770379599087099545e+06,1.389005964783873459e+01,4.796891219289673828e+12,5.055697011204020508e+12,4.934900225652581055e+12
2.059000000000000000e+03,7.770379599087099545e+06,1.748654906200092896e+01,2.860501804963739746e+12,2.974961901333779785e+12,2.921977418203240234e+12
2.059000000000000000e+03,7.770379599087099545e+06,2.201426097873843446e+01,1.638118166335905273e+12,1.700518788840863281e+12,1.671040691159785400e+12
